NU_INSCRICAO;TP_COR_RACA;TP_ESCOLA;SG_UF_RESIDENCIA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q002;Q006
210059168859;2;1;MG;456.1;521.3;459.3;334.3;480.0;B;B
210059333971;1;1;MG;519.4;485.3;524.3;578.2;460.0;F;I
210061906761;3;3;MG;464.6;561.6;519.7;614.1;680.0;G;I
210058413797;1;1;PB;520.9;550.8;598.3;527.4;800.0;G;C
210058132310;3;2;MG;516.9;542.7;526.3;526.4;600.0;E;D
210061604294;3;1;MT;342.5;449.9;485.1;440.1;440.0;H;C
210058130162;3;1;PA;527.9;562.5;495.6;459.2;600.0;E;B
210060151379;3;1;BA;516.7;543.7;545.7;645.8;580.0;E;A
210059170959;1;1;RJ;576.2;601.0;474.2;505.0;700.0;F;G
210061523317;1;1;PE;535.7;575.4;592.5;566.2;880.0;E;B
210060689636;3;1;BA;471.7;502.5;564.2;415.0;600.0;E;B
210058337446;2;1;MG;489.3;428.7;481.5;415.5;500.0;E;D
210058494741;1;2;SP;385.1;491.6;413.4;445.3;380.0;F;D
210058969472;1;2;MT;525.3;473.9;535.8;380.5;640.0;E;B
210059749202;3;2;PA;457.5;503.5;405.3;466.9;580.0;E;C
210058213379;3;1;BA;455.0;475.2;418.1;424.8;340.0;C;B
210058305337;3;2;TO;477.8;557.5;494.6;501.0;800.0;H;C
210060033578;1;1;SP;391.7;603.0;546.2;650.5;740.0;E;H
210060549556;1;1;SP;597.8;604.6;594.1;782.4;820.0;C;B
210058389358;3;2;CE;376.4;476.4;488.7;609.8;840.0;D;B
210061608075;3;2;SP;406.3;428.7;502.8;382.3;500.0;D;B
210060215896;2;1;AL;504.9;496.0;548.4;460.2;680.0;E;B
210058755797;1;1;RS;492.0;537.6;494.0;494.3;680.0;D;D
210060210530;3;2;MG;430.9;420.8;457.6;476.6;460.0;D;E
210058962041;0;2;PI;454.1;525.0;508.2;331.8;480.0;D;A
210060238971;1;3;SP;346.9;468.9;459.6;406.8;0.0;E;K
210060730869;3;1;SE;542.9;564.2;571.7;439.5;360.0;F;G
210061795197;2;2;SP;486.4;525.9;498.4;520.8;520.0;D;C
210058237523;1;1;RN;564.4;686.1;598.0;681.0;700.0;E;B
210058533458;3;1;PA;485.8;423.2;488.9;502.4;520.0;E;E
210061595699;1;1;ES;613.2;627.2;561.6;687.1;920.0;F;H
210060604388;1;2;SP;427.5;461.3;429.1;396.6;0.0;D;D
210059463485;1;3;SC;515.9;540.8;540.9;559.7;540.0;E;Q
210059773924;1;1;MG;591.8;579.2;521.8;660.5;920.0;E;D
210059011852;2;1;DF;585.1;591.1;585.5;656.3;440.0;E;C
210061598361;3;1;GO;483.5;478.5;420.6;398.0;960.0;E;E
210058134601;2;2;ES;548.7;564.2;572.3;511.2;480.0;E;B
210060567705;1;2;PA;447.9;418.4;456.5;363.2;500.0;H;B
210058948961;1;1;MS;541.4;589.4;492.7;554.9;640.0;D;G
210058909901;1;1;PE;539.3;640.2;582.1;379.0;820.0;B;G
210059434592;3;1;MA;469.3;528.8;525.1;635.0;580.0;E;G
210058050828;2;1;PA;514.0;490.9;474.7;520.6;700.0;D;B
210059559129;1;1;BA;490.9;516.9;389.2;424.6;440.0;C;B
210061315364;3;1;PI;537.9;448.3;496.0;397.7;540.0;D;A
210061909412;3;1;MG;519.5;455.6;470.5;428.1;520.0;E;G
210058256499;3;2;BA;594.3;604.9;508.4;683.9;840.0;D;B
210061591589;1;2;SP;444.3;369.8;407.9;461.6;600.0;E;F
210058245432;2;1;MT;428.3;351.8;410.7;392.4;440.0;A;D
210060379216;3;1;PB;442.2;322.9;410.2;382.7;420.0;C;B
210060512386;1;1;AM;562.0;562.2;584.1;541.0;540.0;G;J
210061708940;3;1;PE;492.8;569.1;519.9;624.8;620.0;E;F
210061816698;3;2;PA;376.5;438.7;411.4;425.8;620.0;B;A
210059246006;1;1;PA;491.5;514.5;562.0;501.8;560.0;D;B
210061266100;1;2;SP;473.1;575.5;546.0;578.2;780.0;E;N
210058092617;3;2;PA;489.7;426.0;452.4;488.2;560.0;E;A
210060188974;3;1;SP;465.3;578.9;514.7;561.3;480.0;B;B
210061760088;1;1;PB;592.0;593.9;586.7;571.5;720.0;G;D
210059601086;1;2;RS;461.0;515.6;471.4;476.9;640.0;E;C
210061652138;1;1;MA;540.6;657.5;625.6;683.1;880.0;F;J
210060997017;3;1;MT;566.1;603.8;611.5;681.1;860.0;G;M
210059723879;1;2;PB;530.5;485.1;525.3;390.9;600.0;E;B
210060150437;3;1;RN;554.3;566.7;546.1;603.6;880.0;G;N
210058293197;1;2;SP;420.9;506.1;529.6;613.7;560.0;E;E
210059617058;3;1;RJ;511.7;599.2;545.7;699.0;640.0;E;G
210059126203;2;1;SP;471.4;500.7;560.0;392.8;380.0;B;C
210060396349;1;3;SP;638.5;555.7;596.9;680.5;880.0;G;P
210061356561;1;1;RJ;662.4;626.8;693.5;773.0;940.0;G;F
210060134533;1;1;PA;489.3;524.7;501.0;598.3;640.0;D;C
210061307220;1;1;MG;396.7;459.9;417.6;469.7;640.0;E;C
210059913450;1;2;AL;411.5;363.7;440.6;407.7;500.0;H;B
210058518740;3;1;AL;407.0;604.0;574.6;602.5;820.0;D;C
210061427180;1;1;BA;575.8;637.8;607.5;577.5;540.0;F;D
210060632817;1;1;SP;391.5;506.1;521.6;553.5;480.0;F;L
210058794654;3;1;PE;561.8;590.5;527.1;655.5;900.0;G;B
210061607349;3;1;BA;426.5;458.1;528.0;669.6;540.0;D;B
210060397841;3;1;MG;447.1;523.9;486.0;409.3;300.0;E;B
210059740944;2;1;BA;476.0;581.0;482.8;399.1;440.0;E;B
210058777016;1;2;MS;561.1;532.9;450.5;533.6;640.0;E;G
210061420013;5;1;PE;466.5;448.4;418.7;464.1;540.0;C;A
210061567779;2;2;SP;419.4;556.9;557.5;460.1;560.0;E;D
210058569933;1;2;SP;499.1;417.6;500.3;488.9;520.0;E;B
210058079490;1;1;PB;704.6;653.0;613.6;750.6;940.0;G;I
210060214644;1;2;DF;588.8;625.8;604.7;559.2;760.0;F;B
210060508595;1;1;DF;470.6;536.2;496.9;492.4;860.0;F;D
210061623159;1;1;MA;474.8;426.3;487.8;486.8;600.0;F;E
210058903854;0;1;PA;451.3;438.0;499.4;526.2;640.0;A;B
210060313032;1;3;SC;586.4;509.4;514.5;668.4;860.0;G;N
210058831053;1;2;SP;407.0;409.3;477.7;404.2;320.0;E;D
210059034807;2;2;PB;407.8;491.5;532.8;489.8;580.0;E;C
210058243436;1;3;PI;528.5;544.7;573.6;501.0;820.0;F;D
210059382862;3;2;GO;594.7;593.8;548.0;608.8;800.0;B;D
210061559933;3;1;RJ;551.5;572.3;550.1;453.4;560.0;E;B
210060109372;1;2;MG;541.8;526.5;562.8;526.4;580.0;F;L
210061659099;3;2;RO;413.2;448.1;413.1;411.4;400.0;D;B
210058298111;3;1;RS;370.1;565.8;538.5;702.5;600.0;E;D
210060746130;3;2;MG;501.1;533.8;508.6;399.6;620.0;C;B
210058689678;2;2;CE;335.7;449.4;421.4;388.2;620.0;H;B
210061537899;1;1;MS;406.5;400.2;457.1;447.6;480.0;F;B
210061794943;0;1;MG;622.5;563.9;580.3;746.8;840.0;D;L
210059817544;3;1;TO;466.8;505.3;509.6;533.4;440.0;C;C
210061546749;1;1;RS;461.1;558.7;509.1;458.1;660.0;F;A
210059702805;3;1;RJ;489.0;517.6;497.6;494.6;380.0;C;C
210060444347;3;1;SP;565.9;584.0;593.1;569.9;580.0;F;G
210060748772;3;2;CE;428.4;487.4;450.7;572.9;720.0;B;B
210058099543;3;1;MG;582.8;620.1;632.3;612.0;900.0;F;K
210061274999;3;1;AL;449.8;586.5;582.7;725.5;860.0;E;G
210060367502;2;2;GO;493.7;588.1;573.2;590.2;520.0;E;B
210060776447;3;1;SP;451.7;458.4;464.1;344.9;520.0;E;C
210060845338;2;1;BA;488.3;563.1;549.5;511.6;900.0;E;G
210061829093;1;1;MG;521.1;571.6;605.5;665.4;580.0;B;G
210061974648;2;1;BA;527.4;564.6;451.8;482.4;440.0;E;D
210058843900;3;2;SP;392.3;526.6;505.0;583.7;540.0;C;B
210060668093;1;1;MA;524.1;573.6;551.0;636.8;840.0;G;K
210058551958;3;2;GO;593.2;611.6;588.7;690.7;880.0;E;B
210058408678;3;3;SP;466.4;535.6;535.6;438.6;360.0;E;B
210061064654;2;1;SP;573.9;604.8;562.1;451.5;540.0;C;G
210058225024;3;1;MA;403.2;370.4;384.2;401.7;720.0;E;H
210059491119;1;1;RJ;536.7;626.4;672.2;725.6;820.0;E;C
210061436149;3;2;MG;643.6;690.5;578.6;732.1;820.0;G;K
